,02236350_event_rainfall,02237734_event_rainfall,02236500_event_rainfall,02236605_event_rainfall,02236700_event_rainfall,02240954_event_rainfall,02240902_event_rainfall,02231342_event_rainfall,02231396_event_rainfall,02231454_event_rainfall,02231458_event_rainfall,02231600_event_rainfall,02232155_event_rainfall,02232200_event_rainfall,02232415_event_rainfall,02233001_event_rainfall,02233200_event_rainfall,02233460_event_rainfall,02233473_event_rainfall,02234308_event_rainfall,02234324_event_rainfall,02234990_event_rainfall,02234344_event_rainfall,02234998_event_rainfall,02234400_event_rainfall,02234635_event_rainfall,02234384_event_rainfall,02234365_event_rainfall,022349993_event_rainfall,02235000_event_rainfall,02233475_event_rainfall,02233484_event_rainfall,02233500_event_rainfall,02234180_event_rainfall,02235200_event_rainfall,02246000_event_rainfall,02244320_event_rainfall,02244333_event_rainfall,02245255_event_rainfall,02245260_event_rainfall,02245328_event_rainfall,02246150_event_rainfall,02244473_event_rainfall,02245050_event_rainfall,02245140_event_rainfall,02245500_event_rainfall,02246318_event_rainfall,02246300_event_rainfall,02246459_event_rainfall,02246828_event_rainfall,02246832_event_rainfall,02246515_event_rainfall,02246520_event_rainfall,02246359_event_rainfall,02231280_event_rainfall,02231268_event_rainfall
1980-07-07 00:00:00+00:00,,,,,,1.9768959,1.5464145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034133334,,,,0.3927934,0.97697973,0.5297402,,,,,,,,,,,
1980-07-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8709338,,2.6939998,,,,1.9464794,0.09282829,1.2599291,,,,,,,,,,,
1980-07-13 00:00:00+00:00,,,,,,2.087112,1.6777388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.939449,,2.3244333,,,,1.836215,1.4779496,1.9857244,,,,,,,,,,,
1980-07-15 00:00:00+00:00,,,,,,0.68272793,0.51060957,,,,,,,,,2.6281924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-18 00:00:00+00:00,,,,,,,0.3666096,,,,,,,,,1.8591152,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5966116,0.572367,,,,,,,,,,,,
1980-07-19 00:00:00+00:00,,,,,,0.289632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6692652,,,,,,,,0.22231498,,,0.6300366,,0.028307691,,,,,0.42362165,
1980-07-20 00:00:00+00:00,,,,,,,,,,,,,,,,1.2685963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4206002,,,,,,2.9560974,,2.602987,2.5054166,,,,3.0235136,
1980-07-23 00:00:00+00:00,,,,,,6.1759043,5.317844,,,,,,,,,4.271577,,,,,,,,,,,,,,,,,,,,,3.8639336,,3.5242333,,,,4.279512,4.4457593,4.2635508,,,,,,,,,,,
1980-07-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2986,,,,,,5.5356097,,4.006654,3.627667,,,,5.3629866,
1980-07-25 00:00:00+00:00,,,,,,10.089175,8.217853,,,,,,,,,3.0907502,,,,,,,,,,,,,,,,,,,,,3.4377759,,5.2236333,,,,6.0071077,6.380929,5.7147474,,,,,,,,,,,
1980-07-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0247397,,,,,0.17369999,,,,,,,,,,,,,,
1980-07-28 00:00:00+00:00,,,,,,,,,,,,,,,,0.29096156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-29 00:00:00+00:00,,,,,,1.945344,1.8314387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6926684,,0.45386666,,,0.706025,1.0631157,1.3635808,,,,0.9305975,,0.7027949,0.62049997,,,,0.7444729,
1980-07-30 00:00:00+00:00,,,,,,,,,,,,,,,,2.7138174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4536226,,,,,,0.04794215,,,,,,,,,,,,,
1980-08-09 00:00:00+00:00,,,,,,,,,,,,,,,,1.4517212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2410122,,0.45460257,,,,,1.9939053,
1980-08-10 00:00:00+00:00,,,,,,1.012096,1.4086215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48744607,,,,,,,,,,,,
1980-08-11 00:00:00+00:00,,,,,,,,,,,,,,,,2.4197981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.300454,,,,,,,,,,,1.3826463,,,,,,,2.0310676,
1980-08-13 00:00:00+00:00,,,,,,,,,,,,,,,,1.2861251,,,,,,,,,,,,,,,,,,,,,,,1.1768334,,,0.52947503,1.0045702,1.0279411,0.81751966,,,,,0.49675646,0.42191663,,,,,
1980-08-14 00:00:00+00:00,,,,,,1.462376,1.021946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6207143,,,,,,,,,,,0.6335488,,,,,,,0.81287843,
1980-08-16 00:00:00+00:00,,,,,,1.016352,0.90394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045579124,,,,,,,,,,,,
1980-08-18 00:00:00+00:00,,,,,,0.20957601,0.55487984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.283944,,2.3440335,,,,1.7174132,1.3695185,1.9723387,,,2.7637074,,,,,,,0.41058105,
1980-08-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92055,,,,,,0.78592676,,0.95364106,0.9550834,,,,0.99491894,
1980-08-21 00:00:00+00:00,,,,,,1.1890719,2.0037746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-22 00:00:00+00:00,,,,,,,,,,,,,,,,5.6138077,,,,,,,,,,,,,,,,,,,,,7.0598364,,4.296233,,,1.8272499,4.711157,4.3406715,3.5928974,,,1.4053415,,1.5609232,1.5261667,,,,1.3210405,
